Deposito,Saque
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:28
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:28
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:28
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$10
Horario da transação: 11:29
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$200
Horario da transação: 11:29
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:36
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:36
"
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:48
"
"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$150
Horario da transação: 11:48
",
,"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$100
Horario da transação: 11:50
"
"Tipo de transação: Saque
Data: 23/02/2026 - segunda-feira
Valor: R$150
Horario da transação: 11:50
",
