Deposito,Saque
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:24
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$100.0

",
,"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:26
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$ -100.0

"
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:27
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$200.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:27
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$11.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:28
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$2.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:28
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$2.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:28
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$2.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:29
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$2.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:32
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$23.0

",
"                         Sobre Transação

Data de transação:    qua - 04/02/2026
Horário:              02:32
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$3232.0

",
