Deposito,Saque
"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              11:39
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$10.0

",
"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              11:40
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$34.0

",
"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              11:40
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$4343.0

",
"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              11:40
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$4343.0

",
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:02
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$300.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:02
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$500.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:02
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$500.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:03
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$100.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:03
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$100.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:03
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$100.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:03
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$100.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:03
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$1.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:04
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$1.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:04
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$1.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:04
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$1.0

"
,"                         Sobre Transação

Data de transação:    ter - 03/02/2026
Horário:              12:04
Identificador:        s5d5s15d1we15b1s515z77w6d5s4f5f35ee4ww
ID transação:         4fs7e8v4d288saf72hth6367sfacv8hls2049vjks
Valor transação:      R$1.0

"
